theater_id,longitude,latitude,city,state,zipcode
1410,-104.76179,39.511303,Parker,CO,80138
1411,-81.421944,28.340727,Kissimmee,FL,34741
1412,-96.613983,32.945286,Garland,TX,75040
1413,-95.696732,29.965698,Cypress,TX,77429
1415,-122.18894,48.146492,Marysville,WA,98271
1417,-96.452347,32.903969,Rockwall,TX,75087
1416,-104.9884,39.883564,Denver,CO,80234
1419,-97.62691,35.46283,Oklahoma City,OK,73128
1420,-70.231659,44.119579,Auburn,ME,04210
141,-121.06323,37.694626,Modesto,CA,95356
1421,-115.20852,36.277332,Las Vegas,NV,89131
1423,-121.86525,37.301933,San Jose,CA,95125
1424,-80.20352,26.27135,Margate,FL,33063
1422,-122.74875,45.38643,Tualatin,OR,97062
1425,-86.448074,35.861378,Murfreesboro,TN,37129
1426,-89.95327,38.784763,Edwardsville,IL,62025
1427,-97.40155,35.43582,Midwest City,OK,73110
1429,-83.5886,41.54204,Perrysburg,OH,43551
142,-121.92157,37.428322,Milpitas,CA,95035
1428,-80.160919,33.037933,Summerville,SC,29483
1432,-118.2193,33.877201,Compton,CA,90220
1434,-90.87778,38.8105,Wentzville,MO,63385
1433,-71.712425,42.527382,Leominster,MA,01453
1436,-76.78031,39.42216,Owings Mills,MD,21117
1437,-77.629143,37.419994,Midlothian,VA,23112
1438,-92.415306,35.08762,Conway,AR,72032
143,-90.600029,38.667542,Chesterfield,MO,63005
1439,-88.6685,32.36271,Meridian,MS,39301
1442,-75.235458,40.988781,Stroudsburg,PA,18360
1441,-116.94949,33.9251,Beaumont,CA,92223
1443,-93.23568,45.169456,Blaine,MN,55434
1444,-76.64229,37.25915,Williamsburg,VA,23185
1445,-77.745163,39.660263,Hagerstown,MD,21740
1446,-86.806381,33.606598,Fultondale,AL,35068
1447,-89.9953,34.965248,Southaven,MS,38671
1448,-73.982094,40.769882,New York,NY,10023
1449,-77.604935,38.793159,Gainesville,VA,20155
1451,-76.808113,34.740192,Morehead City,NC,28557
144,-122.06322,37.601608,Union City,CA,94587
1453,-78.783262,35.9146929,Raleigh,NC,27617
1452,-82.45397,27.38664,Sarasota,FL,34243
1454,-122.78477,45.452473,Beaverton,OR,97008
1457,-97.387077,31.09046,Temple,TX,76504
1458,-95.456131,29.044149,Lake Jackson,TX,77566
1459,-98.70968,29.49046,San Antonio,TX,78253
1455,-78.6984,42.98654,Buffalo,NY,14221
1456,-90.185684,29.960909,New Orleans,LA,70123
145,-82.436119,40.033432,Heath,OH,43056
1460,-76.08811,36.77465,Virginia Beach,VA,23456
1461,-71.051697,41.865547,Taunton,MA,02780
1462,-93.706,32.55937,Bossier City,LA,71111
1463,-93.413391,44.779266,Shakopee,MN,55379
1465,-77.356461,37.607933,Mechanicsville,VA,23111
1464,-69.810112,44.315258,Augusta,ME,04330
1466,-81.198,34.00471,Lexington,SC,29072
1468,-72.86943,41.81984,West Simsbury,CT,06092
1467,-73.612717,40.65556,Baldwin,NY,11510
146,-77.424156,39.024071,Sterling,VA,20165
1470,-106.2655,31.755423,El Paso,TX,79936
1469,-95.093292,29.47323,League City,TX,77573
1473,-98.214592,26.277658,McAllen,TX,78504
1474,-84.59896,39.25076,Cincinnati,OH,45251
1475,-81.633011,30.481318,Jacksonville,FL,32218
1476,-77.41209,38.47249,Stafford,VA,22556
1477,-84.417923,38.024441,Lexington,KY,40509
1478,-77.007545,40.247852,Mechanicsburg,PA,17050
147,-78.73716,35.76342,Cary,NC,27518
1480,-75.661179,39.691059,Newark,DE,19713
1486,-84.74411,33.889713,Hiram,GA,30141
1481,-112.10809,33.716125,Phoenix,AZ,85085
1489,-88.41808,42.6007,Lake Geneva,WI,53147
1482,-117.25175,34.47018,Apple Valley,CA,92308
148,-97.095222,32.928673,Grapevine,TX,76051
1488,-72.86852,41.35174,North Haven,CT,06473
1492,-78.51304,35.79744,Knightdale,NC,27545
1491,-122.8631,45.53969,Hillsboro,OR,97006
1494,-97.315818,32.912228,Fort Worth,TX,76177
1496,-65.9688829,18.3912915,Carolina,PR,00983
149,-76.618835,39.426956,Timonium,MD,21093
1499,-96.00509,36.05953,Tulsa,OK,74132
1498,-80.14063,25.77424,Miami Beach,FL,33139
14,-92.496895,44.064365,Rochester,MN,55901
1501,-94.6572,39.25906,Kansas City,MO,64154
1506,-74.28622,40.71637,Vauxhall,NJ,07088
1502,-80.36966,25.78848,Miami,FL,33172
1503,-80.32548,25.66004,Miami,FL,33156
1507,-92.06699,32.49862,Monroe,LA,71203
1509,-120.95188,37.71503,Riverbank,CA,95367
150,-117.26669,34.06654,San Bernardino,CA,92408
1526,-102.314454,31.896518,Odessa,TX,79762
1510,-118.394938,33.985787,Culver City,CA,90230
1513,-97.462541,37.728201,Wichita,KS,67205
1512,-93.57802,41.71326,Ankeny,IA,50021
1514,-94.1902982,45.0654909,Hutchinson,MN,55350
1515,-80.88285,34.1172,Columbia,SC,29229
1516,-97.35312,30.11261,Bastrop,TX,78602
1517,-95.7068975,29.6425663,Richmond,TX,77406
1520,-73.9217,40.60988,Brooklyn,NY,11234
1519,-90.13492,32.46571,Madison,MS,39110
1511,-118.426925,34.273151,Pacoima,CA,91331
1528,-77.9638869,39.4562099,Martinsburg,WV,25403
1527,-106.2662132,42.8437702,Casper,WY,82609
152,-98.615768,29.471991,San Antonio,TX,78238
1530,-81.4287796,28.490483,Orlando,FL,32839
1531,-73.9905737,40.7349109,New York,NY,10003
1532,-71.2160325,42.4790444,Burlington,MA,01803
1533,-117.08441,32.9775,San Diego,CA,92128
1534,-78.849162,38.433507,Harrisonburg,VA,22801
1535,-74.0406545,40.7344915,Jersey City,NJ,07310
155,-79.888687,36.05294,Greensboro,NC,27407
1538,-75.1395919,40.6731155,Phillipsburg,NJ,08865
1537,-118.12156,34.031778,Montebello,CA,90640
1539,-82.145239,27.013718,Port Charlotte,FL,33954
153,-84.457413,39.285713,Springdale,OH,45246
1540,-87.5309476,33.1909524,Tuscaloosa,AL,35404
1541,-77.44927,43.03403,Victor,NY,14564
1542,-90.161,30.002,Metairie,LA,70002
1545,-93.99523,29.94613,Port Arthur,TX,77640
154,-84.275215,39.098297,Cincinnati,OH,45245
163,-76.555206,38.985939,Annapolis,MD,21401
156,-83.136299,40.07246,Dublin,OH,43016
157,-81.329285,28.553522,Orlando,FL,32803
158,-80.308685,36.063457,Winston Salem,NC,27103
15,-92.936394,44.950054,Oakdale,MN,55128
159,-76.454475,39.372471,Nottingham,MD,21236
160,-79.000542,35.954647,Durham,NC,27707
161,-84.636383,39.014843,Florence,KY,41042
162,-81.736519,41.419174,Cleveland,OH,44129
1536,-79.830226,40.4071615,Jonesboro,AR,72401
164,-104.8744,39.557278,Lone Tree,CO,80124
1658,-71.0228,42.2166,Braintree,MA,02184
1667,-71.3501,41.9443,North Attleboro,MA,02760
1659,-71.435981,42.954145,Manchester,NH,03103
1660,-80.134027,26.364756,Boca Raton,FL,33431
1664,-96.821136,32.931615,Dallas,TX,75240
1663,-71.225321,42.767305,Salem,NH,03079
1665,-80.377607,25.786696,Miami,FL,33172
1662,-71.076376,42.367101,Cambridge,MA,02141
165,-89.792839,35.201088,Memphis,TN,38133
1674,-76.59934,39.40377,Towson,MD,21204
